runtime_addr,row,kind,slot,char,row_addr,byte_index_in_row,decoded_old,decoded_new,disk_offset,raw_old,raw_new,payload_start,decode_key,segment_index,fill
0x969B,8,문자,1,이,0x969B~0x969C,0,38,98,0x1DB54,2B,8B,0x1D770,0x28,0x01B,e2f0d9
0x969C,8,문자,1,이,0x969B~0x969C,1,19,DE,0x1DB53,0D,D2,0x1D770,0x28,0x01C,e2f0d9
0x969D,9,문자,2,것,0x969D~0x969E,0,C8,F8,0x1DB52,BD,ED,0x1D770,0x28,0x01D,e2f0d9
0x969E,9,문자,2,것,0x969D~0x969E,1,38,1D,0x1DB51,2E,13,0x1D770,0x28,0x01E,e2f0d9
0x969F,10,문자,3,으,0x969F~0x96A0,0,78,38,0x1DB50,6F,2F,0x1D770,0x28,0x01F,e2f0d9
0x96A0,10,문자,3,으,0x969F~0x96A0,1,28,DE,0x1DB4F,20,D6,0x1D770,0x28,0x020,e2f0d9
0x96A1,11,문자,4,로,0x96A1~0x96A2,0,A8,D8,0x1DB4E,A1,D1,0x1D770,0x28,0x021,e2f0d9
0x96A2,11,문자,4,로,0x96A1~0x96A2,1,7A,31,0x1DB4D,74,2B,0x1D770,0x28,0x022,e2f0d9
0x96A3,12,문자,5,␠,0x96A3~0x96A4,0,F8,18,0x1DB4C,F3,13,0x1D770,0x28,0x023,e2f0d9
0x96A4,12,문자,5,␠,0x96A3~0x96A4,1,38,12,0x1DB4B,34,0E,0x1D770,0x28,0x024,e2f0d9
0x96A5,13,문자,6,끝,0x96A5~0x96A6,0,38,A8,0x1DB4A,35,A5,0x1D770,0x28,0x025,e2f0d9
0x96A6,13,문자,6,끝,0x96A5~0x96A6,1,28,24,0x1DB49,26,22,0x1D770,0x28,0x026,e2f0d9
0x96A7,14,문자,7,난,0x96A7~0x96A8,0,F8,C8,0x1DB48,F7,C7,0x1D770,0x28,0x027,e2f0d9
0x96A8,14,문자,7,난,0x96A7~0x96A8,1,19,24,0x1DB47,19,24,0x1D770,0x28,0x028,e2f0d9
0x96A9,15,문자,8,␠,0x96A9~0x96AA,0,F8,18,0x1DB46,F9,19,0x1D770,0x28,0x029,e2f0d9
0x96AA,15,문자,8,␠,0x96A9~0x96AA,1,38,12,0x1DB45,3A,14,0x1D770,0x28,0x02A,e2f0d9
0x96AB,16,문자,9,게,0x96AB~0x96AC,0,18,08,0x1DB44,1B,0B,0x1D770,0x28,0x02B,e2f0d9
0x96AC,16,문자,9,게,0x96AB~0x96AC,1,19,20,0x1DB43,1D,24,0x1D770,0x28,0x02C,e2f0d9
0x96AD,17,문자,10,␠,0x96AD~0x96AE,0,78,18,0x1DB42,7D,1D,0x1D770,0x28,0x02D,e2f0d9
0x96AE,17,문자,10,␠,0x96AD~0x96AE,1,28,12,0x1DB41,2E,18,0x1D770,0x28,0x02E,e2f0d9
0x96AF,18,문자,11,아,0x96AF~0x96B0,0,F8,08,0x1DB40,FF,0F,0x1D770,0x28,0x02F,e2f0d9
0x96B0,18,문자,11,아,0x96AF~0x96B0,1,28,56,0x1DB3F,30,5E,0x1D770,0x28,0x030,e2f0d9
0x96B1,19,문자,12,니,0x96B1~0x96B2,0,A8,F8,0x1DB3E,B1,01,0x1D770,0x28,0x031,e2f0d9
0x96B2,19,문자,12,니,0x96B1~0x96B2,1,28,25,0x1DB3D,32,2F,0x1D770,0x28,0x032,e2f0d9
0x96B3,20,문자,13,다,0x96B3~0x96B4,0,48,C8,0x1DB3C,53,D3,0x1D770,0x28,0x033,e2f0d9
0x96B4,20,문자,13,다,0x96B3~0x96B4,1,18,27,0x1DB3B,24,33,0x1D770,0x28,0x034,e2f0d9
0x96B7,22,문자,15,베,0x96B7~0x96B8,0,48,98,0x1DB38,57,A7,0x1D770,0x28,0x037,e2f0d9
0x96B9,23,문자,16,칸,0x96B9~0x96BA,0,78,D8,0x1DB36,89,E9,0x1D770,0x28,0x039,e2f0d9
0x96BA,23,문자,16,칸,0x96B9~0x96BA,1,1A,E1,0x1DB35,2C,F3,0x1D770,0x28,0x03A,e2f0d9
0x96BB,24,문자,17,타,0x96BB~0x96BC,0,B8,28,0x1DB34,CB,3B,0x1D770,0x28,0x03B,e2f0d9
0x96BC,24,문자,17,타,0x96BB~0x96BC,1,1A,E2,0x1DB33,2E,F6,0x1D770,0x28,0x03C,e2f0d9
0x96BD,25,문자,18,의,0x96BD~0x96BE,0,38,88,0x1DB32,4D,9D,0x1D770,0x28,0x03D,e2f0d9
0x96BE,25,문자,18,의,0x96BD~0x96BE,1,3B,DE,0x1DB31,51,F4,0x1D770,0x28,0x03E,e2f0d9
0x96BF,26,문자,19,“,0x96BF~0x96C0,0,F8,88,0x1DB30,0F,9F,0x1D770,0x28,0x03F,e2f0d9
0x96C0,26,문자,19,“,0x96BF~0x96C0,1,1B,22,0x1DB2F,33,3A,0x1D770,0x28,0x040,e2f0d9
0x96C1,27,문자,20,힘,0x96C1~0x96C2,0,E8,78,0x1DB2E,01,91,0x1D770,0x28,0x041,e2f0d9
0x96C2,27,문자,20,힘,0x96C1~0x96C2,1,28,E5,0x1DB2D,42,FF,0x1D770,0x28,0x042,e2f0d9
0x96C3,28,문자,21,”,0x96C3~0x96C4,0,D8,98,0x1DB2C,F3,B3,0x1D770,0x28,0x043,e2f0d9
0x96C4,28,문자,21,”,0x96C3~0x96C4,1,32,22,0x1DB2B,4E,3E,0x1D770,0x28,0x044,e2f0d9
0x96C5,29,문자,22,은,0x96C5~0x96C6,0,F8,48,0x1DB2A,15,65,0x1D770,0x28,0x045,e2f0d9
0x96C6,29,문자,22,은,0x96C5~0x96C6,1,9C,DE,0x1DB29,BA,FC,0x1D770,0x28,0x046,e2f0d9
0x96C7,30,문자,23,␠,0x96C7~0x96C8,0,D8,18,0x1DB28,F7,37,0x1D770,0x28,0x047,e2f0d9
0x96C8,30,문자,23,␠,0x96C7~0x96C8,1,32,12,0x1DB27,52,32,0x1D770,0x28,0x048,e2f0d9
0x96C9,31,문자,24,사,0x96C9~0x96CA,0,F8,E8,0x1DB26,19,09,0x1D770,0x28,0x049,e2f0d9
0x96CA,31,문자,24,사,0x96C9~0x96CA,1,28,3C,0x1DB25,4A,5E,0x1D770,0x28,0x04A,e2f0d9
0x96CB,32,문자,25,라,0x96CB~0x96CC,0,38,F8,0x1DB24,5B,1B,0x1D770,0x28,0x04B,e2f0d9
0x96CC,32,문자,25,라,0x96CB~0x96CC,1,BC,30,0x1DB23,E0,54,0x1D770,0x28,0x04C,e2f0d9
0x96CD,33,문자,26,지,0x96CD~0x96CE,0,88,18,0x1DB22,AD,3D,0x1D770,0x28,0x04D,e2f0d9
0x96CE,33,문자,26,지,0x96CD~0x96CE,1,18,E0,0x1DB21,3E,06,0x1D770,0x28,0x04E,e2f0d9
0x96CF,34,문자,27,지,0x96CF~0x96D0,0,F8,18,0x1DB20,1F,3F,0x1D770,0x28,0x04F,e2f0d9
0x96D0,34,문자,27,지,0x96CF~0x96D0,1,28,E0,0x1DB1F,50,08,0x1D770,0x28,0x050,e2f0d9
0x96D1,35,문자,28,␠,0x96D1~0x96D2,0,B8,18,0x1DB1E,E1,41,0x1D770,0x28,0x051,e2f0d9
0x96D2,35,문자,28,␠,0x96D1~0x96D2,1,19,12,0x1DB1D,43,3C,0x1D770,0x28,0x052,e2f0d9
0x96D3,36,문자,29,않,0x96D3~0x96D4,0,38,08,0x1DB1C,63,33,0x1D770,0x28,0x053,e2f0d9
0x96D4,36,문자,29,않,0x96D3~0x96D4,1,39,5E,0x1DB1B,65,8A,0x1D770,0x28,0x054,e2f0d9
0x96D5,37,문자,30,는,0x96D5~0x96D6,0,30,E8,0x1DB1A,5D,15,0x1D770,0x28,0x055,e2f0d9
0x96D6,37,문자,30,는,0x96D5~0x96D6,1,12,25,0x1DB19,40,53,0x1D770,0x28,0x056,e2f0d9
0x96D7,38,문자,31,다,0x96D7~0x96D8,0,D8,C8,0x1DB18,07,F7,0x1D770,0x28,0x057,e2f0d9
0x96D8,38,문자,31,다,0x96D7~0x96D8,1,BE,27,0x1DB17,EE,57,0x1D770,0x28,0x058,e2f0d9
0x96D9,39,문자,32,。,0x96D9~0x96DA,0,E8,30,0x1DB16,19,61,0x1D770,0x28,0x059,e2f0d9
0x96DA,39,문자,32,。,0x96D9~0x96DA,1,28,12,0x1DB15,5A,44,0x1D770,0x28,0x05A,e2f0d9
0x96DB,40,문자,33,인,0x96DB~0x96DC,0,48,A8,0x1DB14,7B,DB,0x1D770,0x28,0x05B,e2f0d9
0x96DC,40,문자,33,인,0x96DB~0x96DC,1,40,DE,0x1DB13,74,12,0x1D770,0x28,0x05C,e2f0d9
0x96DD,41,문자,34,간,0x96DD~0x96DE,0,28,C8,0x1DB12,5D,FD,0x1D770,0x28,0x05D,e2f0d9
0x96DE,41,문자,34,간,0x96DD~0x96DE,1,18,17,0x1DB11,4E,4D,0x1D770,0x28,0x05E,e2f0d9
0x96DF,42,문자,35,이,0x96DF~0x96E0,0,B8,98,0x1DB10,EF,CF,0x1D770,0x28,0x05F,e2f0d9
0x96E0,42,문자,35,이,0x96DF~0x96E0,1,38,DE,0x1DB0F,70,16,0x1D770,0x28,0x060,e2f0d9
0x96E1,43,문자,36,␠,0x96E1~0x96E2,0,28,18,0x1DB0E,61,51,0x1D770,0x28,0x061,e2f0d9
0x96E2,43,문자,36,␠,0x96E1~0x96E2,1,B0,12,0x1DB0D,EA,4C,0x1D770,0x28,0x062,e2f0d9
0x96E3,44,문자,37,존,0x96E3~0x96E4,0,A8,F8,0x1DB0C,E3,33,0x1D770,0x28,0x063,e2f0d9
0x96E4,44,문자,37,존,0x96E3~0x96E4,1,38,EF,0x1DB0B,74,2B,0x1D770,0x28,0x064,e2f0d9
0x96E5,45,문자,38,재,0x96E5~0x96E6,0,60,78,0x1DB0A,9D,B5,0x1D770,0x28,0x065,e2f0d9
0x96E6,45,문자,38,재,0x96E5~0x96E6,1,12,DF,0x1DB09,50,1D,0x1D770,0x28,0x066,e2f0d9
0x96E7,46,문자,39,하,0x96E7~0x96E8,0,60,58,0x1DB08,9F,97,0x1D770,0x28,0x067,e2f0d9
0x96E8,46,문자,39,하,0x96E7~0x96E8,1,12,E3,0x1DB07,52,23,0x1D770,0x28,0x068,e2f0d9
0x96E9,47,문자,40,는,0x96E9~0x96EA,0,60,E8,0x1DB06,A1,29,0x1D770,0x28,0x069,e2f0d9
0x96EA,47,문자,40,는,0x96E9~0x96EA,1,12,25,0x1DB05,54,67,0x1D770,0x28,0x06A,e2f0d9
0x96EB,48,문자,41,␠,0x96EB~0x96EC,0,48,18,0x1DB04,8B,5B,0x1D770,0x28,0x06B,e2f0d9
0x96EC,48,문자,41,␠,0x96EB~0x96EC,1,3B,12,0x1DB03,7F,56,0x1D770,0x28,0x06C,e2f0d9
0x96EE,49,문자,42,한,0x96ED~0x96EE,1,1A,E3,0x1DB01,60,29,0x1D770,0x28,0x06E,e2f0d9
0x96EF,50,문자,43,・,0x96EF~0x96F0,0,B8,60,0x1DB00,FF,A7,0x1D770,0x28,0x06F,e2f0d9
0x96F0,50,문자,43,・,0x96EF~0x96F0,1,1A,12,0x1DAFF,62,5A,0x1D770,0x28,0x070,e2f0d9
0x96F1,51,문자,44,・,0x96F1~0x96F2,0,38,60,0x1DAFE,81,A9,0x1D770,0x28,0x071,e2f0d9
0x96F2,51,문자,44,・,0x96F1~0x96F2,1,3B,12,0x1DAFD,85,5C,0x1D770,0x28,0x072,e2f0d9
0x96F3,52,문자,45,・,0x96F3~0x96F4,0,68,60,0x1DAFC,B3,AB,0x1D770,0x28,0x073,e2f0d9
0x96F4,52,문자,45,・,0x96F3~0x96F4,1,2A,12,0x1DAFB,76,5E,0x1D770,0x28,0x074,e2f0d9
0x96F5,53,문자,46,␠,0x96F5~0x96F6,0,38,18,0x1DAFA,85,65,0x1D770,0x28,0x075,e2f0d9
0x96F6,53,문자,46,␠,0x96F5~0x96F6,1,1A,12,0x1DAF9,68,60,0x1D770,0x28,0x076,e2f0d9
0x96F7,54,문자,47,베,0x96F7~0x96F8,0,E8,98,0x1DAF8,37,E7,0x1D770,0x28,0x077,e2f0d9
0x96F8,54,문자,47,베,0x96F7~0x96F8,1,28,3B,0x1DAF7,78,8B,0x1D770,0x28,0x078,e2f0d9
0x96F9,55,문자,48,칸,0x96F9~0x96FA,0,28,D8,0x1DAF6,79,29,0x1D770,0x28,0x079,e2f0d9
0x96FA,55,문자,48,칸,0x96F9~0x96FA,1,18,E1,0x1DAF5,6A,33,0x1D770,0x28,0x07A,e2f0d9
0x96FB,56,문자,49,티,0x96FB~0x96FC,0,B8,D8,0x1DAF4,0B,2B,0x1D770,0x28,0x07B,e2f0d9
0x96FC,56,문자,49,티,0x96FB~0x96FC,1,38,E2,0x1DAF3,8C,36,0x1D770,0x28,0x07C,e2f0d9
0x96FD,57,문자,50,는,0x96FD~0x96FE,0,38,E8,0x1DAF2,8D,3D,0x1D770,0x28,0x07D,e2f0d9
0x96FE,57,문자,50,는,0x96FD~0x96FE,1,19,25,0x1DAF1,6F,7B,0x1D770,0x28,0x07E,e2f0d9
0x96FF,58,문자,51,␠,0x96FF~0x9700,0,88,18,0x1DAF0,DF,6F,0x1D770,0x28,0x07F,e2f0d9
0x9700,58,문자,51,␠,0x96FF~0x9700,1,28,12,0x1DAEF,80,6A,0x1D770,0x28,0x080,e2f0d9
