작업순번,구분,주소시작,주소끝,슬롯,문자열,바이트,길이,색상,메모
1,제어,0x9680,0x9682,,,19 00 77,3,fce4d6,한글 재배치 기준 HL=9680→9683. 제어토큰 유지.
2,제어,0x9683,0x9684,,,15 00,2,fce4d6,한글 재배치 기준 HL=9683→9685. 제어토큰 유지.
3,제어,0x9685,0x9686,,,17 00,2,fce4d6,한글 재배치 기준 HL=9685→9687. 제어토큰 유지.
4,제어,0x9687,0x9692,,,14 00 01 00 11 22 33 44 55 66 77 80,12,fce4d6,한글 재배치 기준 HL=9687→9693. 제어토큰 유지.
5,제어,0x9693,0x9695,,,1A 00 04,3,fce4d6,한글 재배치 기준 HL=9693→9696. 제어토큰 유지.
6,제어,0x9696,0x9698,,,12 00 10,3,fce4d6,한글 재배치 기준 HL=9696→9699. 제어토큰 유지.
7,제어,0x9699,0x969A,,,16 00,2,fce4d6,한글 재배치 기준 HL=9699→969B. 제어토큰 유지.
8,문자,0x969B,0x969C,1,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
9,문자,0x969D,0x969E,2,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
10,제어,0x969F,0x96A3,,,12 00 23 21 00,5,fce4d6,한글 재배치 기준 HL=969F→96A4. 제어토큰 유지.
11,문자,0x96A4,0x96A5,3,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
12,문자,0x96A6,0x96A7,4,누,C8 25,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
13,문자,0x96A8,0x96A9,5,가,A8 17,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
14,문자,0x96AA,0x96AB,6,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
15,문자,0x96AC,0x96AD,7,있,F8 DE,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
16,문자,0x96AE,0x96AF,8,어,08 70,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
17,문자,0x96B0,0x96B1,9,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
18,문자,0x96B2,0x96B3,10,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
19,제어,0x96B4,0x96B8,,,12 00 23 21 00,5,fce4d6,한글 재배치 기준 HL=96B4→96B9. 제어토큰 유지.
20,문자,0x96B9,0x96BA,11,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
21,제어,0x96BB,0x96BF,,,12 00 23 21 00,5,fce4d6,한글 재배치 기준 HL=96BB→96C0. 제어토큰 유지.
22,문자,0x96C0,0x96C1,12,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
