runtime_addr,row,kind,slot,char,row_addr,byte_index_in_row,decoded_old,decoded_new,disk_offset,raw_old,raw_new,payload_start,decode_key,segment_index,fill
0x9698,7,문자,1,레,0x9698~0x9699,0,F0,A0,0x1C707,DF,8F,0x1C320,0x29,0x018,e9ae2b
0x9699,7,문자,1,레,0x9698~0x9699,1,DC,31,0x1C706,CC,21,0x1C320,0x29,0x019,e9ae2b
0x969A,8,문자,2,이,0x969A~0x969B,0,20,90,0x1C705,11,81,0x1C320,0x29,0x01A,e9ae2b
0x969B,8,문자,2,이,0x969A~0x969B,1,B7,DE,0x1C704,A9,D0,0x1C320,0x29,0x01B,e9ae2b
0x969C,9,문자,3,코,0x969C~0x969D,0,60,10,0x1C703,53,03,0x1C320,0x29,0x01C,e9ae2b
0x969D,9,문자,3,코,0x969C~0x969D,1,12,E2,0x1C702,06,D6,0x1C320,0x29,0x01D,e9ae2b
0x96A0,11,문자,5,・,0x96A0~0x96A1,0,10,60,0x1C6FF,07,57,0x1C320,0x29,0x020,e2f0d9
0x96A1,11,문자,5,・,0x96A0~0x96A1,1,11,12,0x1C6FE,09,0A,0x1C320,0x29,0x021,e2f0d9
0x96A2,12,제어,,,0x96A2~0x96A3,0,12,10,0x1C6FD,0B,09,0x1C320,0x29,0x022,fce4d6
0x96A3,12,제어,,,0x96A2~0x96A3,1,00,11,0x1C6FC,FA,0B,0x1C320,0x29,0x023,fce4d6
0x96A4,13,제어,,,0x96A4~0x96A8,0,23,12,0x1C6FB,1E,0D,0x1C320,0x29,0x024,fce4d6
0x96A5,13,제어,,,0x96A4~0x96A8,1,21,00,0x1C6FA,1D,FC,0x1C320,0x29,0x025,fce4d6
0x96A6,13,제어,,,0x96A4~0x96A8,2,00,23,0x1C6F9,FD,20,0x1C320,0x29,0x026,fce4d6
0x96A7,13,제어,,,0x96A4~0x96A8,3,60,21,0x1C6F8,5E,1F,0x1C320,0x29,0x027,fce4d6
0x96A8,13,제어,,,0x96A4~0x96A8,4,12,00,0x1C6F7,11,FF,0x1C320,0x29,0x028,fce4d6
0x96A9,14,문자,6,・,0x96A9~0x96AA,0,30,60,0x1C6F6,30,60,0x1C320,0x29,0x029,e2f0d9
0x96AA,14,문자,6,・,0x96A9~0x96AA,1,19,12,0x1C6F5,1A,13,0x1C320,0x29,0x02A,e2f0d9
0x96AB,15,문자,7,␠,0x96AB~0x96AC,0,30,18,0x1C6F4,32,1A,0x1C320,0x29,0x02B,e2f0d9
0x96AC,15,문자,7,␠,0x96AB~0x96AC,1,39,12,0x1C6F3,3C,15,0x1C320,0x29,0x02C,e2f0d9
0x96AD,16,문자,8,어,0x96AD~0x96AE,0,A0,00,0x1C6F2,A4,04,0x1C320,0x29,0x02D,e9ae2b
0x96AE,16,문자,8,어,0x96AD~0x96AE,1,28,70,0x1C6F1,2D,75,0x1C320,0x29,0x02E,e9ae2b
0x96AF,17,문자,9,떻,0x96AF~0x96B0,0,A0,B0,0x1C6F0,A6,B6,0x1C320,0x29,0x02F,e9ae2b
0x96B0,17,문자,9,떻,0x96AF~0x96B0,1,FA,30,0x1C6EF,01,37,0x1C320,0x29,0x030,e9ae2b
0x96B1,18,문자,10,게,0x96B1~0x96B2,0,B0,00,0x1C6EE,B8,08,0x1C320,0x29,0x031,e9ae2b
0x96B2,18,문자,10,게,0x96B1~0x96B2,1,28,20,0x1C6ED,31,29,0x1C320,0x29,0x032,e9ae2b
0x96B3,19,문자,11,␠,0x96B3~0x96B4,0,60,18,0x1C6EC,6A,22,0x1C320,0x29,0x033,e2f0d9
0x96B5,20,문자,12,이,0x96B5~0x96B6,0,60,90,0x1C6EA,6C,9C,0x1C320,0x29,0x035,e9ae2b
0x96B6,20,문자,12,이,0x96B5~0x96B6,1,12,DE,0x1C6E9,1F,EB,0x1C320,0x29,0x036,e9ae2b
0x96B7,21,문자,13,곳,0x96B7~0x96B8,0,60,90,0x1C6E8,6E,9E,0x1C320,0x29,0x037,e9ae2b
0x96B8,21,문자,13,곳,0x96B7~0x96B8,1,12,20,0x1C6E7,21,2F,0x1C320,0x29,0x038,e9ae2b
0x96B9,22,문자,14,에,0x96B9~0x96BA,0,10,40,0x1C6E6,20,50,0x1C320,0x29,0x039,e9ae2b
0x96BA,22,문자,14,에,0x96B9~0x96BA,1,11,9F,0x1C6E5,22,B0,0x1C320,0x29,0x03A,e9ae2b
0x96BB,23,문자,15,・,0x96BB~0x96BC,0,12,60,0x1C6E4,24,72,0x1C320,0x29,0x03B,e2f0d9
0x96BC,23,문자,15,・,0x96BB~0x96BC,1,00,12,0x1C6E3,13,25,0x1C320,0x29,0x03C,e2f0d9
0x96BD,24,문자,16,・,0x96BD~0x96BE,0,23,60,0x1C6E2,37,74,0x1C320,0x29,0x03D,e2f0d9
0x96BE,24,문자,16,・,0x96BD~0x96BE,1,21,12,0x1C6E1,36,27,0x1C320,0x29,0x03E,e2f0d9
0x96BF,25,문자,17,・,0x96BF~0x96C0,0,00,60,0x1C6E0,16,76,0x1C320,0x29,0x03F,e2f0d9
0x96C0,25,문자,17,・,0x96BF~0x96C0,1,90,12,0x1C6DF,A7,29,0x1C320,0x29,0x040,e2f0d9
0x96C1,26,제어,,,0x96C1~0x96C2,0,28,10,0x1C6DE,40,28,0x1C320,0x29,0x041,fce4d6
0x96C2,26,제어,,,0x96C1~0x96C2,1,60,11,0x1C6DD,79,2A,0x1C320,0x29,0x042,fce4d6
0x96C3,27,제어,,,0x96C3~0x96C7,0,18,12,0x1C6DC,32,2C,0x1C320,0x29,0x043,fce4d6
0x96C4,27,제어,,,0x96C3~0x96C7,1,70,00,0x1C6DB,8B,1B,0x1C320,0x29,0x044,fce4d6
0x96C5,27,제어,,,0x96C3~0x96C7,2,19,23,0x1C6DA,35,3F,0x1C320,0x29,0x045,fce4d6
0x96C6,27,제어,,,0x96C3~0x96C7,3,60,21,0x1C6D9,7D,3E,0x1C320,0x29,0x046,fce4d6
0x96C7,27,제어,,,0x96C3~0x96C7,4,28,00,0x1C6D8,46,1E,0x1C320,0x29,0x047,fce4d6
0x96C8,28,문자,18,␠,0x96C8~0x96C9,0,20,18,0x1C6D7,3F,37,0x1C320,0x29,0x048,e2f0d9
0x96C9,28,문자,18,␠,0x96C8~0x96C9,1,18,12,0x1C6D6,38,32,0x1C320,0x29,0x049,e2f0d9
