작업순번,구분,주소시작,주소끝,슬롯,문자열,바이트,길이,색상,메모
1,제어,0x9680,0x9682,,,19 00 74,3,fce4d6,한글 재배치 기준 HL=9680→9683. 제어토큰 유지.
2,제어,0x9683,0x9684,,,15 00,2,fce4d6,한글 재배치 기준 HL=9683→9685. 제어토큰 유지.
3,제어,0x9685,0x9686,,,17 00,2,fce4d6,한글 재배치 기준 HL=9685→9687. 제어토큰 유지.
4,제어,0x9687,0x9692,,,14 00 00 00 11 22 33 44 55 66 77 80,12,fce4d6,한글 재배치 기준 HL=9687→9693. 제어토큰 유지.
5,제어,0x9693,0x9695,,,1A 00 04,3,fce4d6,한글 재배치 기준 HL=9693→9696. 제어토큰 유지.
6,제어,0x9696,0x9697,,,16 00,2,fce4d6,한글 재배치 기준 HL=9696→9698. 제어토큰 유지.
7,문자,0x9698,0x9699,1,바,80 39,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
8,문자,0x969A,0x969B,2,니,F0 25,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
9,문자,0x969C,0x969D,3,티,D0 E2,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
10,문자,0x969E,0x969F,4,에,40 9F,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
11,문자,0x96A0,0x96A1,5,␠,18 12,2,e2f0d9,일본어 전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
12,문자,0x96A2,0x96A3,6,오,B0 9F,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
13,문자,0x96A4,0x96A5,7,신,D0 3F,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
14,문자,0x96A6,0x96A7,8,␠,18 12,2,e2f0d9,일본어 전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
15,문자,0x96A8,0x96A9,9,걸,C0 1D,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
16,문자,0x96AA,0x96AB,10,␠,18 12,2,e2f0d9,일본어 전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
17,문자,0x96AC,0x96AD,11,환,90 E4,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
18,문자,0x96AE,0x96AF,12,영,90 9F,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
19,문자,0x96B0,0x96B1,13,합,90 E3,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
20,문자,0x96B2,0x96B3,14,니,F0 25,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
21,문자,0x96B4,0x96B5,15,다,C0 27,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
22,문자,0x96B6,0x96B7,16,",",20 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
23,문자,0x96B8,0x96B9,17,유,20 DE,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
24,문자,0x96BA,0x96BB,18,코,10 E2,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
25,문자,0x96BC,0x96BD,19,・,60 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
26,문자,0x96BE,0x96BF,20,・,60 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
27,문자,0x96C0,0x96C1,21,・,60 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
28,문자,0x96C2,0x96C3,22,␠,18 12,2,e2f0d9,일본어 전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
29,문자,0x96C4,0x96C5,23,바,80 39,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
30,문자,0x96C6,0x96C7,24,리,70 34,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
31,문자,0x96C8,0x96C9,25,스,70 3F,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
32,문자,0x96CA,0x96CB,26,의,80 DE,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
33,문자,0x96CC,0x96CD,27,␠,18 12,2,e2f0d9,일본어 전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
34,문자,0x96CE,0x96CF,28,전,B0 DF,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
35,문자,0x96D0,0x96D1,29,사,E0 3C,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
36,문자,0x96D2,0x96D3,30,여,50 9F,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
37,문자,0x96D4,0x96D5,31,・,60 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
38,문자,0x96D6,0x96D7,32,・,60 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
39,문자,0x96D8,0x96D9,33,・,60 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
40,문자,0x96DA,0x96DB,34,。,30 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
41,제어,0x96DC,0x96DE,,,19 00 75,3,fce4d6,한글 재배치 기준 HL=96DC→96DF. 제어토큰 유지.
42,제어,0x96DF,0x96E0,,,15 00,2,fce4d6,한글 재배치 기준 HL=96DF→96E1. 제어토큰 유지.
43,제어,0x96E1,0x96E2,,,17 00,2,fce4d6,한글 재배치 기준 HL=96E1→96E3. 제어토큰 유지.
44,제어,0x96E3,0x96E5,,,1A 00 04,3,fce4d6,한글 재배치 기준 HL=96E3→96E6. 제어토큰 유지.
45,제어,0x96E6,0x96E7,,,16 00,2,fce4d6,한글 재배치 기준 HL=96E6→96E8. 제어토큰 유지.
46,제어,0x96E8,0x96EB,,,12 00 23 00,4,fce4d6,한글 재배치 기준 HL=96E8→96EC. 제어토큰 유지.
47,문자,0x96EC,0x96ED,35,이,98 DE,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
48,문자,0x96EE,0x96EF,36,건,B8 1D,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
49,문자,0x96F0,0x96F1,37,␠,18 12,2,e2f0d9,일본어 전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
50,문자,0x96F2,0x96F3,38,꿈,68 24,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
51,문자,0x96F4,0x96F5,39,、,20 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
52,문자,0x96F6,0x96F7,40,꿈,68 24,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
53,문자,0x96F8,0x96F9,41,이,98 DE,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
54,문자,0x96FA,0x96FB,42,야,08 6C,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
55,문자,0x96FC,0x96FD,43,・,60 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
56,문자,0x96FE,0x96FF,44,・,60 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
57,문자,0x9700,0x9701,45,・,60 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
58,문자,0x9702,0x9703,46,␠,18 12,2,e2f0d9,일본어 전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
59,문자,0x9704,0x9705,47,나,B8 24,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
60,문자,0x9706,0x9707,48,는,E8 25,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
61,문자,0x9708,0x9709,49,␠,18 12,2,e2f0d9,일본어 전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
62,문자,0x970A,0x970B,50,아,08 56,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
63,문자,0x970C,0x970D,51,직,28 E0,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
64,문자,0x970E,0x970F,52,␠,18 12,2,e2f0d9,일본어 전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
65,문자,0x9710,0x9711,53,자,08 DF,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
66,문자,0x9712,0x9713,54,고,88 20,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
67,문자,0x9714,0x9715,55,␠,18 12,2,e2f0d9,일본어 전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
68,문자,0x9716,0x9717,56,있,F8 DE,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
69,문자,0x9718,0x9719,57,는,E8 25,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
70,문자,0x971A,0x971B,58,␠,18 12,2,e2f0d9,일본어 전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
71,문자,0x971C,0x971D,59,거,98 1D,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
72,문자,0x971E,0x971F,60,야,08 6C,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
73,문자,0x9720,0x9721,61,・,60 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
74,문자,0x9722,0x9723,62,・,60 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
75,문자,0x9724,0x9725,63,・,60 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
76,문자,0x9726,0x9727,64,␠,18 12,2,e2f0d9,일본어 전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
77,문자,0x9728,0x9729,65,그,58 21,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
78,문자,0x972A,0x972B,66,래,38 31,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
79,문자,0x972C,0x972D,67,␠,18 12,2,e2f0d9,일본어 전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
80,문자,0x972E,0x972F,68,맞,18 35,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
81,문자,0x9730,0x9731,69,아,08 56,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
82,문자,0x9732,0x9733,70,!,A0 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
83,문자,0x9734,0x9735,71,␠,18 12,2,e2f0d9,일본어 전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
84,문자,0x9736,0x9737,72,틀,C8 E2,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
85,문자,0x9738,0x9739,73,림,A8 34,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
86,문자,0x973A,0x973B,74,없,08 7C,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
87,문자,0x973C,0x973D,75,이,98 DE,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
88,문자,0x973E,0x973F,76,␠,18 12,2,e2f0d9,일본어 전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
89,문자,0x9740,0x9741,77,그,58 21,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
90,문자,0x9742,0x9743,78,럴,68 31,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
91,문자,0x9744,0x9745,79,␠,18 12,2,e2f0d9,일본어 전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
92,문자,0x9746,0x9747,80,거,98 1D,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
93,문자,0x9748,0x9749,81,야,08 6C,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
94,문자,0x974A,0x974B,82,・,60 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
95,문자,0x974C,0x974D,83,・,60 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
96,문자,0x974E,0x974F,84,・,60 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
97,문자,0x9750,0x9751,85,！,A0 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
98,제어,0x9752,0x9753,,,15 00,2,fce4d6,한글 재배치 기준 HL=9752→9754. 제어토큰 유지.
99,문자,0x9754,0x9755,86,・,60 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
100,문자,0x9756,0x9757,87,・,60 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
101,문자,0x9758,0x9759,88,・,60 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
102,제어,0x975A,0x975D,,,12 00 21 00,4,fce4d6,한글 재배치 기준 HL=975A→975E. 제어토큰 유지.
103,문자,0x975E,0x975F,89,꿈,68 24,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
104,문자,0x9760,0x9761,90,이,98 DE,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
105,문자,0x9762,0x9763,91,␠,18 12,2,e2f0d9,일본어 전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
106,문자,0x9764,0x9765,92,아,08 56,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
107,문자,0x9766,0x9767,93,니,F8 25,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
108,문자,0x9768,0x9769,94,라,F8 30,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
109,문자,0x976A,0x976B,95,고,88 20,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
110,문자,0x976C,0x976D,96,！,A0 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
111,문자,0x976E,0x976F,97,？,90 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
112,문자,0x9770,0x9771,98,␠,18 12,2,e2f0d9,일본어 전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
113,문자,0x9772,0x9773,99,어,08 70,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
114,문자,0x9774,0x9775,100,째,88 E0,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
115,문자,0x9776,0x9777,101,서,58 3D,2,e2f0d9,"연녹색 일반 문자행: 같은 glyph base 유지, 첫 바이트 OR 08h로 일반 문자 토큰 반영."
116,문자,0x9778,0x9779,102,！,A0 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
117,문자,0x977A,0x977B,103,？,90 12,2,e2f0d9,기존 일본어/PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
118,제어,0x977C,0x977E,,,19 00 74,3,fce4d6,한글 재배치 기준 HL=977C→977F. 제어토큰 유지.
119,제어,0x977F,0x9780,,,15 00,2,fce4d6,한글 재배치 기준 HL=977F→9781. 제어토큰 유지.
120,제어,0x9781,0x9782,,,17 00,2,fce4d6,한글 재배치 기준 HL=9781→9783. 제어토큰 유지.
121,제어,0x9783,0x9785,,,1A 00 04,3,fce4d6,한글 재배치 기준 HL=9783→9786. 제어토큰 유지.
122,제어,0x9786,0x9787,,,16 00,2,fce4d6,한글 재배치 기준 HL=9786→9788. 제어토큰 유지.
123,문자,0x9788,0x9789,104,한,70 E3,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
124,문자,0x978A,0x978B,105,때,80 30,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
125,문자,0x978C,0x978D,106,는,E0 25,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
126,문자,0x978E,0x978F,107,␠,18 12,2,e2f0d9,일본어 전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
127,문자,0x9790,0x9791,108,어,00 70,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
128,문자,0x9792,0x9793,109,떻,B0 30,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
129,문자,0x9794,0x9795,110,게,00 20,2,e9ae2b,주황색 대화 발화 문자행: 패치 KANJI1 발화체 토큰 반영.
130,문자,0x9796,0x9797,111,␠,18 12,2,e2f0d9,일본어 전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
