작업순번,구분,주소시작,주소끝,슬롯,문자열,바이트,길이,색상,메모
1,제어,0x9680,0x968B,,,14 00 01 00 11 22 33 44 55 66 77 80,12,fce4d6,행 추가/삭제 반영 재계산: HL=0x9680→0x968C. 제어토큰 기존 바이트 유지.
2,제어,0x968C,0x968E,,,19 00 69,3,fce4d6,행 추가/삭제 반영 재계산: HL=0x968C→0x968F. 제어토큰 기존 바이트 유지.
3,제어,0x968F,0x9690,,,15 00,2,fce4d6,행 추가/삭제 반영 재계산: HL=0x968F→0x9691. 제어토큰 기존 바이트 유지.
4,제어,0x9691,0x9692,,,17 00,2,fce4d6,행 추가/삭제 반영 재계산: HL=0x9691→0x9693. 제어토큰 기존 바이트 유지.
5,제어,0x9693,0x9695,,,1A 00 04,3,fce4d6,행 추가/삭제 반영 재계산: HL=0x9693→0x9696. 제어토큰 기존 바이트 유지.
6,제어,0x9696,0x9697,,,16 38,2,fce4d6,행 추가/삭제 반영 재계산: HL=0x9696→0x9698. 제어토큰 기존 바이트 유지.
7,제어,0x9698,0x969A,,,19 20 12,3,fce4d6,행 추가/삭제 반영 재계산: HL=0x9698→0x969B. 제어토큰 기존 바이트 유지.
8,문자,0x969B,0x969C,1,이,98 DE,2,e2f0d9,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
9,문자,0x969D,0x969E,2,것,F8 1D,2,e2f0d9,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
10,문자,0x969F,0x96A0,3,으,38 DE,2,e2f0d9,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
11,문자,0x96A1,0x96A2,4,로,D8 31,2,e2f0d9,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
12,문자,0x96A3,0x96A4,5,␠,18 12,2,e2f0d9,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
13,문자,0x96A5,0x96A6,6,끝,A8 24,2,e2f0d9,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
14,문자,0x96A7,0x96A8,7,난,C8 24,2,e2f0d9,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
15,문자,0x96A9,0x96AA,8,␠,18 12,2,e2f0d9,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
16,문자,0x96AB,0x96AC,9,게,08 20,2,e2f0d9,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
17,문자,0x96AD,0x96AE,10,␠,18 12,2,e2f0d9,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
18,문자,0x96AF,0x96B0,11,아,08 56,2,e2f0d9,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
19,문자,0x96B1,0x96B2,12,니,F8 25,2,e2f0d9,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
20,문자,0x96B3,0x96B4,13,다,C8 27,2,e2f0d9,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
21,문자,0x96B5,0x96B6,14,、,20 12,2,e2f0d9,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
22,문자,0x96B7,0x96B8,15,베,98 3B,2,e2f0d9,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
23,문자,0x96B9,0x96BA,16,칸,D8 E1,2,e2f0d9,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
24,문자,0x96BB,0x96BC,17,타,28 E2,2,e2f0d9,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
25,문자,0x96BD,0x96BE,18,의,88 DE,2,e2f0d9,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
26,문자,0x96BF,0x96C0,19,“,88 22,2,e2f0d9,행 추가/삭제 반영 재계산: 여는 큰따옴표 “ = 88 22. 일반/비발화 문장부호 토큰.
27,문자,0x96C1,0x96C2,20,힘,78 E5,2,e2f0d9,"행 추가/삭제 반영 재계산: 일반 문자행, 같은 glyph base 유지 + 첫 바이트 OR 08h."
28,문자,0x96C3,0x96C4,21,”,98 22,2,e2f0d9,행 추가/삭제 반영 재계산: 닫는 큰따옴표 ” = 98 22. 일반/비발화 문장부호 토큰.
